nuclide TEXT;organism TEXT;value REAL
Ni;Mollusc - bivalve;2.2E+02
Ni;Crustacean;1.9E+03
Ni;Mollusc - gastropod;2.2E+02
Ni;Insect larvae;1.9E+03
Ni;Mammal;2.0E+02
Ni;Pelagic fish;2.0E+02
Ni;Phytoplankton;5.2E+02
Ni;Vascular plant;5.2E+02
Ni;Zooplankton;1.9E+03
Ni;Reptile;9.5E+02
Np;Amphibian;1.2E+02
Np;Benthic fish;7.2E+01
Np;Bird;5.3E+01
Np;Crustacean;2.0E+02
Np;Insect larvae;2.0E+02
Np;Mammal;1.2E+02
Np;Mollusc - bivalve;5.6E+02
Np;Mollusc - gastropod;5.6E+02
Np;Pelagic fish;7.2E+01
Np;Phytoplankton;7.1E+01
Np;Reptile;1.2E+02
Np;Vascular plant;2.2E+02
Np;Zooplankton;2.0E+02
P;Amphibian;6.8E+05
P;Benthic fish;6.8E+05
P;Bird;6.8E+05
P;Mollusc - bivalve;6.0E+04
P;Crustacean;6.0E+04
P;Mollusc - gastropod;6.0E+04
P;Insect larvae;6.0E+04
P;Mammal;6.8E+05
P;Pelagic fish;6.8E+05
P;Phytoplankton;1.3E+03
P;Vascular plant;1.3E+03
P;Zooplankton;6.0E+04
P;Reptile;6.8E+05
Pa;Amphibian;3.2E+03
Pa;Benthic fish;8.3E+02
Pa;Bird;3.2E+03
Pa;Mollusc - bivalve;1.0E+04
Pa;Crustacean;6.0E+02
Pa;Mollusc - gastropod;1.0E+04
Pa;Insect larvae;2.5E+03
Pa;Mammal;3.2E+03
Pa;Pelagic fish;8.3E+02
Pa;Phytoplankton;5.9E+03
Pa;Vascular plant;1.3E+03
Pa;Zooplankton;5.4E+02
Pa;Reptile;3.2E+03
Pb;Amphibian;5.3E+00
Pb;Benthic fish;3.6E+02
Pb;Bird;2.4E+02
Pb;Mollusc - bivalve;5.8E+03
Pb;Crustacean;8.2E+03
Pb;Mollusc - gastropod;5.8E+03
Pb;Insect larvae;8.2E+03
Pb;Mammal;4.4E+02
Pb;Pelagic fish;3.6E+02
Pb;Phytoplankton;1.6E+03
Pb;Vascular plant;3.0E+02
Pb;Zooplankton;8.2E+03
Pb;Reptile;4.4E+02
Po;Amphibian;2.0E+03
Po;Benthic fish;2.0E+03
Po;Bird;2.0E+03
Po;Mollusc - bivalve;1.2E+05
Po;Crustacean;8.3E+03
Po;Mollusc - gastropod;1.2E+05
Po;Insect larvae;1.2E+05
Po;Mammal;2.0E+03
Po;Pelagic fish;2.0E+03
Po;Phytoplankton;1.6E+03
Po;Vascular plant;1.6E+03
Po;Zooplankton;1.2E+05
Po;Reptile;3.6E+03
Pu;Amphibian;4.6E+03
Pu;Benthic fish;8.3E+02
Pu;Bird;2.9E+03
Pu;Mollusc - bivalve;5.5E+03
Pu;Crustacean;6.0E+02
Pu;Mollusc - gastropod;5.5E+03
Pu;Insect larvae;2.5E+03
Pu;Mammal;4.6E+03
Pu;Pelagic fish;8.3E+02
Pu;Phytoplankton;5.9E+03
Pu;Vascular plant;1.1E+03
Pu;Zooplankton;5.4E+02
Pu;Reptile;5.9E+03
Ra;Amphibian;6.3E+03
Ra;Benthic fish;1.8E+02
Ra;Bird;6.3E+03
Ra;Mollusc - bivalve;2.4E+04
Ra;Crustacean;2.7E+02
Ra;Mollusc - gastropod;2.4E+04
Ra;Insect larvae;2.4E+04
Ra;Mammal;2.1E-01
Ra;Pelagic fish;1.8E+02
Ra;Phytoplankton;5.5E+02
Ra;Vascular plant;1.1E+03
Ra;Zooplankton;2.4E+04
Ra;Reptile;7.7E+02
Ru;Amphibian;1.0E+02
Ru;Benthic fish;1.0E+02
Ru;Bird;1.0E+02
Ru;Mollusc - bivalve;1.0E+02
Ru;Crustacean;1.0E+02
Ru;Mollusc - gastropod;1.0E+02
Ru;Insect larvae;1.0E+02
Ru;Mammal;1.0E+02
Ru;Pelagic fish;1.0E+02
Ru;Phytoplankton;1.3E+03
Ru;Vascular plant;2.1E+03
Ru;Zooplankton;1.0E+02
Ru;Reptile;1.0E+02
S;Amphibian;2.4E+02
S;Benthic fish;2.4E+02
S;Bird;2.4E+02
S;Mollusc - bivalve;2.4E+02
S;Crustacean;2.4E+02
